OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID,HPMS,FLOW_COUNT,SHAPE_Length
178,119750210,N,15279,N 145TH ST,160,"N 145TH ST, W/O MERIDIAN AVE N",2014,15279,21100,316586, ,Y,4983.29093829253
179,172350300,N,21625,SW 106TH ST,232,"SW 106TH ST, W/O SEOLA BEACH DR SW",2014,21625,9300,316411, ,Y,3274.92272363715
180,156300030,N,19710,S COLUMBIAN WAY,210,"S COLUMBIAN EB&WB WAY, NW/O 14TH AVE S",2014,19710,39500,315292,Y,Y,4140.24029546617
181,63450200,B,10015,DENNY WAY,104,"DENNY WAY, E/O WESTLAKE AVE",2014,10015,23400,316700, ,Y,1746.45065065917
182,93150200,N,12312,QUEEN ANNE AVE N,276,"QUEEN ANNE AVE N, S/O CROCKETT ST",2014,12312,12100,315599, ,Y,5505.52887319237
183,3250020,N,1551,12TH AVE E,21,"12TH AVE E, N/O E JOHN ST",2014,1551,8700,315932, ,Y,2417.62749523664
184,82920010,N,11495,M L KING JR WAY E,145,"M L KING JR WAY E, S/O E JOHN ST",2014,11495,9900,315944, ,Y,5599.1511017078
185,165650100,N,20848,S MICHIGAN ST,220,"S MICHIGAN ST, E/O 6TH AVE S",2014,20848,34600,315300,Y,Y,3586.29351019681
186,116900140,N,14946,E YESLER WAY,113,"E YESLER WAY, W/O 23RD AVE",2014,14946,7500,315956, ,Y,6243.1889389161
187,167350150,N,21055,S OTHELLO ST,222,"S OTHELLO ST, E/O 43RD AVE S",2014,21055,7800,314416, ,Y,6539.88964672874
188,2300050,N,1408,11TH AVE NE,257,"11TH AVE NE, S/O NE 45TH ST",2014,1408,17100,314684,Y,Y,7370.84136378832
189,94850310,N,12623,ROOSEVELT WAY NE,207,"ROOSEVELT WAY NE, N/O NE 73RD ST",2014,12623,11700,316484, ,Y,597.649017834874
190,48000400,N,8406,8TH AVE NW,73,"8TH AVE NW, S/O NW 80TH ST",2014,8406,14000,316258, ,Y,14468.6430631516
191,200640,N,1113,1ST AVE NE,30,"1ST AVE NE, S/O NE 145TH ST",2014,1113,5100,313833, ,Y,3986.72548798665
192,174000400,N,21861,FAUNTLEROY FERRY DOCK,235,"SW BARTON ST, SW/O FAUNTLEROY WAY SW",2014,21861,5200,316415, ,Y,304.679593832594
193,157550090,N,19832,S DEARBORN ST,212,"S DEARBORN ST, W/O 13TH AVE S",2014,19832,21700,315296,Y,Y,4409.29152525954
194,38850120,Y,7235,5TH AVE,67,"5TH AVE, SE/O PIKE ST",2014,7235,12700,315091,Y,Y,4844.80853947761
195,93450010,N,12340,RAINIER AVE S,201,"RAINIER AVE S, SE/O BOREN AVE S",2014,12340,31700,316489, ,Y,2902.00939107233
196,151300110,N,19223,NW MARKET ST,275,"NW MARKET ST, W/O 8TH AVE NW",2014,19223,27000,315278, ,Y,6251.59244867809
197,188450151,N,23541,WEST MARGINAL WAY SW,247,"WEST MARGINAL WAY SW, NW/O 2ND AVE SW",2014,23541,11000,315926, ,Y,1656.74221142687
198,121250320,N,15553,N 45TH ST,162,"N 45TH ST, W/O EASTERN AVE N",2014,15553,22200,315974, ,Y,4925.06513857086
199,139500170,N,18047,NE PACIFIC ST,188,"NE PACIFIC ST, NW/O NE PACIFIC PL",2014,18047,26700,316475, ,Y,1488.54735639085
200,91600080,Y,12218,PINE ST,16,"PINE ST, NE/O 5TH AVE",2014,12218,9500,314737,Y, ,1287.49258810786
201,83150030,N,11604,MAGNOLIA BR,149,"MAGNOLIA BR, E/O W GARFIELD ST OFF RP",2014,11604,20700,315180,Y,Y,8172.69442971623
202,104400090,N,13540,WESTLAKE AVE N,255,"WESTLAKE AVE N, S/O HIGHLAND DR",2014,13540,31900,315330,Y,Y,8936.62593137646
203,178150150,N,22372,SW HOLDEN ST,237,"SW HOLDEN ST, W/O DELRIDGE WAY SW",2014,22372,6800,314743, ,Y,4000.47390881984
204,73900020,Y,10961,HOWELL ST,9,"HOWELL ST, NE/O 9TH AVE",2014,10961,9300,313306,Y, ,1657.58624769903
205,6900445,N,2315,16TH AVE S,263,"16TH AVE S, N/O 16TH AVE S BR",2014,2315,15100,316245, ,Y,2570.37853242317
206,53960170,N,573395,BEACON AVE S,86,"BEACON AVE S, S/O S SPOKANE ST",2014,573395,13000,316699, ,Y,12515.9435621302
207,91600110,Y,12222,PINE ST,17,"PINE ST, NE/O 9TH AVE",2014,12222,6700,315284,Y, ,965.915422648164
208,89500070,Y,12047,OLIVE WAY,13,"OLIVE WAY, NE/O 9TH AVE",2014,12047,10100,313799,Y, ,2253.68170847484
209,50000204,N,8666,ARIPORT WAY S,78,"AIRPORT WAY S, S/O S STACY ST",2014,8666,18700,315872, ,Y,3838.87388051542
210,91550100,Y,12205,PIKE ST,15,"PIKE ST, SW/O TERRY AVE",2014,12205,10600,315282,Y, ,1609.88443025418
211,75750010,R,490100,COLUMBIA ST RAMP,96,"COLUMBIA ST EXPRESS RP, E/O COLUMBIA ST",2014,490100,1100,316650, ,Y,327.206009350435
212,89500020,Y,12042,OLIVE WAY,14,"OLIVE WAY, SW/O 5TH AVE",2014,12042,6200,314738,Y, ,656.269362231183
213,97770020,N,10993,SR 522,18,"SR522, SW/O 12TH AVE NE",2014,10993,29900,315302,Y, ,1298.29327097737
214,19300260,N,4248,28TH AVE W,42,"28TH AVE W, S/O W DRAVUS ST",2014,4248,3700,314214, ,Y,7612.38525186929
215,134650170,N,17265,NE 65TH ST,178,"NE 65TH ST, W/O 15TH AVE NE",2014,17265,17100,316427, ,Y,1338.68197514311
216,40250440,N,7537,51ST AVE S,63,"51ST AVE S, S/O S BANGOR ST",2014,7537,6300,316256, ,Y,9968.71322630892
217,134650170,N,17261,NE 65TH ST,180,"NE 65TH ST, W/O ROOSEVELT WAY NE",2014,17261,16800,315209,Y,Y,3446.82996580814
218,13900185,N,18049,NE PACIFIC ST,12,"NE PACIFIC ST, NW/O MONTLAKE BLVD NE",2014,18049,21500,315276,Y, ,934.910246969645
219,102580040,N,531032,WEST SEATTLE BR EB & WB,249,WEST SEATTLE BR (EB&WB) E/O 1ST AV S OFF RP,2014,531032,94800,316718, ,Y,2529.16226095419
220,,Y,13202,UNIVERSITY ST,281,"UNIVERSITY ST, SW/O 4TH AVE",2014,13202,7500,315390, ,Y,644.064862138333
221,139300040,N,18013,NE NORTHGATE WAY,185,"NE NORTHGATE WAY, E/O 5TH AVE NE",2014,18013,29600,315218,Y,Y,2973.23195899429
222,110750030,N,14073,EAST GREEN LAKE WAY N,115,"EAST GREEN LAKE WAY N, NE/O N 57TH ST",2014,14073,16300,315639, ,Y,5650.60023890402
223,73600060,N,10940,HOLMAN RD NW,131,"HOLMAN RD NW, NE/O 13TH E AVE NW",2014,10940,27700,316591, ,Y,7786.59339464637
224,83000140,B,11592,MADISON ST,148,"MADISON ST, NE/O BOREN AVE",2014,11592,28800,316568, ,Y,1269.95727161444
225,13750030,N,3444,23RD AVE S,3,"23RD AVE S, S/O S JACKSON ST",2014,3444,17000,315067,Y, ,5429.36245564754
226,116500250,N,14903,E UNION ST,112,"E UNION ST, W/O 26TH AVE",2014,14903,9500,315954, ,Y,5065.0918082782
227,53900160,N,9125,BEACON AVE S,85,"BEACON AVE S, N/O S SPOKANE ST",2014,9125,11300,315988, ,Y,3460.82143499035
228,50500050,Y,8738,ALASKAN WAY S,79,"ALASKAN WAY S, N/O S KING ST",2014,8738,7800,315883, ,Y,5022.6733586054
229,100090,Y,1008,1ST AVE,36,"1ST AVE, SE/O PIKE ST",2014,1008,21200,315057, ,Y,3005.08610044723
230,104200090,Y,13503,WESTERN AVE,254,"WESTERN AVE, NW/O UNION ST",2014,13503,6600,316282, ,Y,4200.0811349748
231,55650010,N,9303,BOREN AVE,87,"BOREN AVE, NW/O E YESLER WAY",2014,9303,19400,315099,Y,Y,3403.67355907684
232,94850600,N,12652,ROOSEVELT WAY NE ,208,"ROOSEVELT WAY NE, S/O NE NORTHGATE WAY",2014,12652,10600,316423, ,Y,9284.0371815674
233,68750010,N,10563,FREMONT BR,125,"FREMONT BR, N/O POINT A",2014,10563,33900,315166, ,Y,1563.83520180417
234,520040,N,1270,1ST AV S BR NB,29,"1ST AV S BR NB & SB, S/O POINT A",2014,1270,93900,316678, ,Y,6772.28437414417
235,133200100,N,16929,NE 50TH ST,175,"NE 50TH ST, W/O ROOSEVELT WAY NE",2014,16929,16300,316575, ,Y,2477.37512075141
236,31500330,N,6261,4TH AVE S,58,"4TH AVE S, N/O S MICHIGAN ST",2014,6261,19900,315081,Y,Y,3468.62324117411
237,97450080,N,12881,SR509 NB,229,"SR509 NB & SB , S/O CLOVERDALE ST ON & OFF RP",2014,12881,61100,316705, ,Y,5993.17400336864
238,161550180,N,20241,S HENDERSON ST,215,"S HENDERSON ST, E/O RENTON AVE S",2014,20241,13300,315298,Y,Y,2223.64576048056
239,113000310,N,14409,EAST MARGINAL WAY S,117,"EAST MARGINAL WAY S, SE/O 4TH AVE S",2014,14409,16600,315135,Y,Y,5366.3587690045
240,83030670,N,486569,M L KING JR WAY S NB & SB,144,"M L KING JR ER & WR WAY S, SE/O S HOLLY ST",2014,486569,25500,316495, ,Y,7186.56246334046
241,113000390,N,14420,EAST MARGINAL WAY S,8,"EAST MARGINAL WAY S, SE/O BOEING DR",2014,14420,18600,315137,Y, ,1390.10676232092
242,50450160,Y,269161,ALASKAN WAY,268,"ALASKAN WAY, SE/O PIKE ST",2014,269161,10600,316260, ,Y,2699.04032910445
243,160500030,N,20110,S GRAHAM ST,214,"S GRAHAM ST, E/O SWIFT AVE S",2014,20110,10200,316404, ,Y,5651.07612461468
244,52500700,N,8957,AURORA AVE N,83,"AURORA AVE N, S/O N 80TH ST",2014,8957,26800,316694, ,Y,13102.2169933237
245,52501010,N,8988,AURORA AVE N,81,"AURORA AVE N, S/O N 112TH ST",2014,8988,33500,316436, ,Y,8438.97368800524
246,57900270,N,9555,CALIFORNIA AVE SW,92,"CALIFORNIA AVE SW, S/O ERSKINE WAY SW",2014,9555,13100,315998, ,Y,5272.75741863451
247,82930400,N,352636,ML KING JR BLVD S NB & SB,141,"M L KING JR ER & WR WAY S, N/O S ANDOVER ST",2014,352636,19500,315798, ,Y,15241.4791417058
248,31500050,N,6230,4TH AVE S,59,"4TH AVE S, S/O 2ND AV ET S",2014,6230,27000,315083,Y,Y,989.412465069063
249,95550230,N,12724,SAND POINT WAY NE,224,"SAND POINT WAY NE, S/O NE 74TH ST",2014,12724,16300,316482, ,Y,2627.99576303644
250,110700050,N,14060,EAST GREEN LAKE DR N,114,"EAST GREEN LAKE DR N, NW/O LATONA AVE NE",2014,14060,13300,316577, ,Y,5942.77387874824
251,95550200,N,12722,SAND POINT WAY NE,225,"SAND POINT WAY NE, SW/O NE 65TH ST",2014,12722,16600,315966, ,Y,9653.77166345891
252,82930910,N,489661,M L KING JR WAY S,143,"M L KING JR ER & WR WAY S, S/O S NORFOLK ST",2014,489661,31700,315908, ,Y,5307.43389225253
253,118500080,N,519931,N 125TH ST,156,"N 125TH ST, W/O AURORA AVE N",2014,519931,8000,316721, ,Y,2609.62338126094
254,,N,484993,M L KING JR WAY S,142,"M L KING JR ER & WR WAY S, NW/O S EDMUNDS ST",2014,484993,21900,315906, ,Y,7102.2135489261
255,104300010,Y,13524,WESTERN AV OFF RP,253,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB",2014,13524,16400,316720, ,Y,800.684096850947
256,97810020,N,490543,SR99 FY,246,"WEST MARGINAL NB & SB WAY S, SE/O CLOVERDALE ST ON RP",2014,490543,41600,316674, ,Y,6145.46164538252
257,60150010,Y,9738,COLUMBIA ST ON RP,97,"COLUMBIA ST ON RP, NE/O ALASKAN WY VI SB",2014,9738,10700,313368, ,Y,664.565591660201
